name,id,categories,lat,long,checkins
Dutch House Tavern,4bb6899fef159c74292376f7,Bar,40.9399589436,-74.1189119449,2910
Biagio's Ristorante,4b8e0f65f964a520331733e3,Italian Restaurant,40.9462317938,-74.0935499012,2123
Grant Street Cafe,4b423035f964a52082ce25e3,Bar,40.9486851343,-73.9878495821,3654
Booze barn,5187ea47498e3c5f21f12b7f,Dive Bar,40.9493026882,-73.9791662771,103
St John's Council #1345 ~ Knights of Columbus,4ca29d38d695199cf5cc3de7,Other Nightlife,40.9380355538,-74.005883038,98
The Hungry Peddler,4b7df130f964a52059db2fe3,Pub,40.947182509,-73.9759981792,1454
230th,50f4aed3e4b0e117b9958371,Lounge,40.8740084187,-73.9435049519,10
Mr Vigg's,4d310037eefa8cfa7d7d26b3,Bar,40.9051625,-73.901347,63
The Kerrymen,4f8b2fe2e4b07efb9f72e9a4,Brewery,40.9101836477,-73.8895039803,18
Terry's Space,51268efdfe70117ea75b1703,Lounge,40.9041393284,-74.0610051155,69
Charlie Brown's Fresh Grill,4bcb5e53cc8cd13a753fbfcf,Steakhouse,40.941407,-74.030131,1336
The Soto Asylum,50a966a6e4b0d062c6509e5c,Hookah Bar,40.9418144342,-74.0084859194,256
Rachel's Room,5224c9dc11d27aba624f50c5,Strip Club,40.94206,-73.982703,15
Fort Lee (my apartment),4e1a6e57fa76194645a48056,Nightclub,40.866469,-73.964124,75
Schraalenburgh Inn,4ceedb0ff368b1f7f6b882f7,Bar,40.940301,-73.996612,99
Tonworth's Disco,50de1ea3e4b0471641d1f5a0,Nightclub,40.900706,-73.946179,67
Ned Devine's Saloon,4c539750479fc92816bdb691,Bar,40.903595,-73.866786,167
D&R Trainview Cafe - Luxury Edition,4f5b865ce4b0090c099d75bb,Cocktail Bar,40.9232759123,-73.8421044848,61
Boulevard Bar & Grill,4bad6d3ff964a520014f3be3,Bar,40.9044440379,-74.1182294744,2046
Brookside Tavern,4afe318cf964a520a62e22e3,Bar,40.9406501808,-73.9921193514,155
Kwasha Lipton,4ce012e269136dcb602ce1e6,Speakeasy,40.8543102359,-73.9638016634,39
Buddhas Palace @ 5C,50e8e9c8e4b098a1ea50ec9d,Dive Bar,40.8574627631,-73.9673085995,48
Mrs. Palu's Peep House,4f04d1e75c5c8b842bab206d,Strip Club,40.9381390467,-73.9813127486,12
The Guerra's,4d45db64bf61a1cd465d17ac,Nightclub,40.938036,-73.970843,1063
Insomnia Lounge and Restaurant,50e47220f2e7a0615dba95e5,Lounge,40.8633388817,-73.9257574081,175
Maja's Tapas & Bar,51fc4c06498ea67cd3f75a8a,Bar,40.8658821223,-73.9278160178,43
chris and kros house of awesomenoss,53768e58498e52706d293ebe,Wine Bar,40.8682632446,-73.9250030518,4
Durty Nelly's,4ba17291f964a520e5b737e3,Bar,40.9075605878,-73.8724784613,232
Mckeon's pub,4ba165d3f964a52086b337e3,Arcade,40.9029906783,-73.8643929753,308
Bodhran,4e02035ccc3fe1394f714fc7,Pub,40.9065557426,-73.8709330559,195
Yonkers Tiki Hut,52685efe11d2fcddf45d4021,Cocktail Bar,40.908723,-73.862082,13
J. C. Fogarty's,4af8c5bef964a520cf0f22e3,Bar,40.9392699989,-73.8346213102,2051
The Malt House,4c705937d7fab1f7d4525ec9,Bar,40.9215404143,-73.8543373364,532
Pete's Park Place Tavern,4b7d65ddf964a5203cbc2fe3,Bar,40.939748,-73.834043,1135
241 Sport Bar,4eaf9d239adff29daeed3e4d,Bar,40.9033097282,-73.850822623,3
Chakra,4c4ba8d09e6dbe9a6cb25a0c,New American Restaurant,40.9237860046,-74.0842633948,1426
GrandCru,50a2daa2e4b0b6bebcfbd54a,Wine Bar,40.8951490505,-73.9744944623,6
Oprandy's Wine and Liquor Store,4f32ac5819836c91c7ee9a79,Wine Bar,40.90994,-73.968094,3
Тусовка: Парти Хард,5353e439498e3492942a557c,Beer Garden,40.902903,-73.906109,4
Fagan's Ale House,4bc94ce4937ca59304b2a592,Bar,40.9035173268,-73.866678537,98
Katie's Cottage,4c804223d92ea093d1703672,Pub,40.9208351887,-73.865587443,333
JJ's Pub & Grill,4cfb199c084f5481f0717f09,Pub,40.9232339222,-74.1102518403,1503
Club Aladdin,4b5a66b2f964a520b5c228e3,Nightclub,40.8905173114,-74.0395624714,162
Firewaters of Hackensack,4c43a3baf0bdd13ae58fc8cc,Bar,40.9038354514,-74.0317364316,1312
Jersey Boys Grill,4b3aa8d6f964a520216c25e3,American Restaurant,40.931437468,-74.0254133991,2769
Gavins Lounge,537845ae498e5219d0ac8b47,Lounge,40.9015579224,-74.0020217896,1
Kelly Ryan's,4aee1817f964a52002d221e3,Bar,40.9051581993,-73.89782958,355
The Hideout Tavern,4dbcc1cfcda109aa6ca4a54c,Pub,40.896522485,-73.8711347317,36
The Coachman's Inn,4c854ffb51ada1cdbfa43610,Bar,40.9001607774,-73.8676260611,93
Burke's Bar,4e4dd945bd4101d0d79cb2b7,Bar,40.9219780073,-73.8473250763,988
The Soul Patio,4f63cfd5e4b0ea77cce65669,Lounge,40.8890255532,-74.0568772995,53
