name,price,happyHour,rating,numRatings,categories,lat,long,checkins,url,fs_url
Dutch House Tavern,$$,True,8.19,180,Bar,40.9399589436,-74.1189119449,2910,,https://foursquare.com/v/dutch-house-tavern-fair-lawn-nj/4bb6899fef159c74292376f7
Biagio's Ristorante,$$,False,7.4,153,Italian Restaurant,40.9462317938,-74.0935499012,2123,http://www.biagios.com,https://foursquare.com/biagiosparamus
Grant Street Cafe,$$,True,7.82,213,Bar,40.9486851343,-73.9878495821,3654,http://www.grantstreetcafe.com,https://foursquare.com/v/grant-street-cafe/4b423035f964a52082ce25e3
Booze barn,$,True,,,Dive Bar,40.9493026882,-73.9791662771,103,,https://foursquare.com/v/booze-barn-dumont-nj/5187ea47498e3c5f21f12b7f
St John's Council #1345 ~ Knights of Columbus,,False,,,Other Nightlife,40.9380355538,-74.005883038,98,,https://foursquare.com/v/st-johns-council-1345--knights-of-columbus/4ca29d38d695199cf5cc3de7
The Hungry Peddler,$,True,6.47,137,Pub,40.947182509,-73.9759981792,1454,,https://foursquare.com/v/the-hungry-peddler/4b7df130f964a52059db2fe3
230th,$$$,False,,,Lounge,40.8740084187,-73.9435049519,10,,https://foursquare.com/v/230th/50f4aed3e4b0e117b9958371
Mr Vigg's,$$,False,,,Bar,40.9051625,-73.901347,63,,https://foursquare.com/v/mr-viggs/4d310037eefa8cfa7d7d26b3
The Kerrymen,$$,False,,,Brewery,40.9101836477,-73.8895039803,18,,https://foursquare.com/v/the-kerrymen/4f8b2fe2e4b07efb9f72e9a4
Terry's Space,$$$,False,,,Lounge,40.9041393284,-74.0610051155,69,,https://foursquare.com/v/terrys-space-maywood-nj-nj/51268efdfe70117ea75b1703
Charlie Brown's Fresh Grill,$$,False,6.65,88,Steakhouse,40.941407,-74.030131,1336,,https://foursquare.com/v/charlie-browns-fresh-grill/4bcb5e53cc8cd13a753fbfcf
The Soto Asylum,$,False,,,Hookah Bar,40.9418144342,-74.0084859194,256,,https://foursquare.com/v/the-soto-asylum/50a966a6e4b0d062c6509e5c
Rachel's Room,,False,,,Strip Club,40.94206,-73.982703,15,,https://foursquare.com/v/rachels-room/5224c9dc11d27aba624f50c5
Fort Lee (my apartment),$$$,False,,,Nightclub,40.866469,-73.964124,75,,https://foursquare.com/v/fort-lee-my-apartment/4e1a6e57fa76194645a48056
Schraalenburgh Inn,$$,False,,,Bar,40.940301,-73.996612,99,,https://foursquare.com/v/schraalenburgh-inn-dumont-nj/4ceedb0ff368b1f7f6b882f7
Tonworth's Disco,,False,,,Nightclub,40.900706,-73.946179,67,,https://foursquare.com/v/tonworths-disco/50de1ea3e4b0471641d1f5a0
Ned Devine's Saloon,$$,False,,,Bar,40.903595,-73.866786,167,,https://foursquare.com/v/ned-devines-saloon/4c539750479fc92816bdb691
D&R Trainview Cafe - Luxury Edition,$$$,True,,,Cocktail Bar,40.9232759123,-73.8421044848,61,,https://foursquare.com/v/dr-trainview-cafe--luxury-edition/4f5b865ce4b0090c099d75bb
Boulevard Bar & Grill,$$,True,6.79,137,Bar,40.9044440379,-74.1182294744,2046,,https://foursquare.com/v/boulevard-bar--grill/4bad6d3ff964a520014f3be3
Brookside Tavern,$$,False,,,Bar,40.9406501808,-73.9921193514,155,,https://foursquare.com/v/brookside-tavern/4afe318cf964a520a62e22e3
Kwasha Lipton,$$$,True,,,Speakeasy,40.8543102359,-73.9638016634,39,,https://foursquare.com/v/kwasha-lipton/4ce012e269136dcb602ce1e6
Buddhas Palace @ 5C,$,False,,,Dive Bar,40.8574627631,-73.9673085995,48,,https://foursquare.com/v/buddhas-palace--5c/50e8e9c8e4b098a1ea50ec9d
Mrs. Palu's Peep House,,False,,,Strip Club,40.9381390467,-73.9813127486,12,,https://foursquare.com/v/mrs-palus-peep-house/4f04d1e75c5c8b842bab206d
The Guerra's,,False,,,Nightclub,40.938036,-73.970843,1063,,https://foursquare.com/v/the-guerras/4d45db64bf61a1cd465d17ac
Insomnia Lounge and Restaurant,$$$,True,,,Lounge,40.8633388817,-73.9257574081,175,http://www.facebook.com/pages/insomnia-lounge-and-restaurant/387340718011210,https://foursquare.com/v/insomnia-lounge-and-restaurant/50e47220f2e7a0615dba95e5
Maja's Tapas & Bar,$$,False,,,Bar,40.8658821223,-73.9278160178,43,,https://foursquare.com/v/majas-tapas--bar/51fc4c06498ea67cd3f75a8a
chris and kros house of awesomenoss,$$,False,,,Wine Bar,40.8682632446,-73.9250030518,4,,https://foursquare.com/v/chris-and-kros-house-of-awesomenoss-new-york-ny/53768e58498e52706d293ebe
Durty Nelly's,,False,,,Bar,40.9075605878,-73.8724784613,232,,https://foursquare.com/v/durty-nellys/4ba17291f964a520e5b737e3
Mckeon's pub,,False,,,Arcade,40.9029906783,-73.8643929753,308,,https://foursquare.com/v/mckeons-pub/4ba165d3f964a52086b337e3
Bodhran,,False,,,Pub,40.9065557426,-73.8709330559,195,,https://foursquare.com/v/bodhran/4e02035ccc3fe1394f714fc7
Yonkers Tiki Hut,$$$,False,,,Cocktail Bar,40.908723,-73.862082,13,,https://foursquare.com/v/yonkers-tiki-hut/52685efe11d2fcddf45d4021
J. C. Fogarty's,$$,True,7.89,181,Bar,40.9392699989,-73.8346213102,2051,http://jcfogartys.com,https://foursquare.com/v/j-c-fogartys/4af8c5bef964a520cf0f22e3
The Malt House,$$,False,,,Bar,40.9215404143,-73.8543373364,532,,https://foursquare.com/v/the-malt-house/4c705937d7fab1f7d4525ec9
Pete's Park Place Tavern,$$,True,7.22,126,Bar,40.939748,-73.834043,1135,,https://foursquare.com/v/petes-park-place-tavern/4b7d65ddf964a5203cbc2fe3
241 Sport Bar,$$,False,,,Bar,40.9033097282,-73.850822623,3,,https://foursquare.com/v/241-sport-bar/4eaf9d239adff29daeed3e4d
Chakra,$$$,False,6.88,124,New American Restaurant,40.9237860046,-74.0842633948,1426,http://www.chakrarestaurant.com,https://foursquare.com/v/chakra/4c4ba8d09e6dbe9a6cb25a0c
GrandCru,$$,False,,,Wine Bar,40.8951490505,-73.9744944623,6,,https://foursquare.com/v/grandcru/50a2daa2e4b0b6bebcfbd54a
Oprandy's Wine and Liquor Store,$$,False,,,Wine Bar,40.90994,-73.968094,3,,https://foursquare.com/v/oprandys-wine-and-liquor-store/4f32ac5819836c91c7ee9a79
Тусовка: Парти Хард,$,False,,,Beer Garden,40.902903,-73.906109,4,,https://foursquare.com/v/%D1%82%D1%83%D1%81%D0%BE%D0%B2%D0%BA%D0%B0-%D0%BF%D0%B0%D1%80%D1%82%D0%B8-%D1%85%D0%B0%D1%80%D0%B4/5353e439498e3492942a557c
Fagan's Ale House,$$,False,,,Bar,40.9035173268,-73.866678537,98,http://www.fagansalehouse.com,https://foursquare.com/v/fagans-ale-house/4bc94ce4937ca59304b2a592
Katie's Cottage,$,False,,,Pub,40.9208351887,-73.865587443,333,,https://foursquare.com/v/katies-cottage/4c804223d92ea093d1703672
JJ's Pub & Grill,$,False,7.29,71,Pub,40.9232339222,-74.1102518403,1503,http://www.jjspubandgrill.com,https://foursquare.com/v/jjs-pub--grill/4cfb199c084f5481f0717f09
Club Aladdin,$$$,False,,,Nightclub,40.8905173114,-74.0395624714,162,http://www.clubaladdin.com,https://foursquare.com/v/club-aladdin/4b5a66b2f964a520b5c228e3
Firewaters of Hackensack,$$,False,,,Bar,40.9038354514,-74.0317364316,1312,http://www.firewatersbar.com,https://foursquare.com/v/firewaters-of-hackensack/4c43a3baf0bdd13ae58fc8cc
Jersey Boys Grill,$$,False,7.63,251,American Restaurant,40.931437468,-74.0254133991,2769,http://www.jerseyboysgrill.com,https://foursquare.com/v/jersey-boys-grill/4b3aa8d6f964a520216c25e3
Gavins Lounge,,True,,,Lounge,40.9015579224,-74.0020217896,1,,https://foursquare.com/v/gavins-lounge/537845ae498e5219d0ac8b47
Kelly Ryan's,$$,True,6.45,38,Bar,40.9051581993,-73.89782958,355,http://kellyryanspub.com,https://foursquare.com/v/kelly-ryans-bronx-ny/4aee1817f964a52002d221e3
The Hideout Tavern,$,False,,,Pub,40.896522485,-73.8711347317,36,http://www.hideouttavern.com,https://foursquare.com/v/the-hideout-tavern/4dbcc1cfcda109aa6ca4a54c
The Coachman's Inn,$$,False,,,Bar,40.9001607774,-73.8676260611,93,,https://foursquare.com/v/the-coachmans-inn/4c854ffb51ada1cdbfa43610
Burke's Bar,$$,True,6.61,95,Bar,40.9219780073,-73.8473250763,988,http://www.calicojacksnyc.com,https://foursquare.com/v/burkes-bar/4e4dd945bd4101d0d79cb2b7
The Soul Patio,$$$,True,,,Lounge,40.8890255532,-74.0568772995,53,,https://foursquare.com/v/the-soul-patio/4f63cfd5e4b0ea77cce65669
